Time - Force	Amplitude - Force
269,4m	-0,1
270,0m	-0,1
270,6m	-0,1
271,2m	-0,1
271,9m	-0,1
272,5m	-0,1
273,1m	-0,1
273,7m	-0,1
274,3m	-0,1
274,9m	-0,1
275,5m	-0,1
276,1m	-0,1
276,7m	-0,1
277,3m	-0,1
277,9m	-0,1
278,5m	-0,1
279,1m	-0,1
279,7m	-0,1
280,3m	-0,1
280,9m	-0,1
281,5m	-0,1
282,1m	-0,1
282,8m	-0,1
283,4m	-0,1
284,0m	-0,1
284,6m	-0,1
285,2m	-0,1
285,8m	-0,1
286,4m	-0,1
287,0m	-0,1
287,6m	-0,1
288,2m	-0,1
288,8m	-0,1
289,4m	-0,1
290,0m	-0,1
290,6m	-0,1
291,2m	-0,1
291,8m	-0,1
292,4m	-0,1
293,0m	-0,1
293,7m	-0,1
294,3m	-0,1
294,9m	-0,1
295,5m	-0,1
296,1m	-0,1
296,7m	-0,1
297,3m	-0,1
297,9m	-0,1
298,5m	-0,1
299,1m	-0,1
299,7m	-0,1
300,3m	-0,1
300,9m	-0,1
301,5m	-0,1
302,1m	-0,1
302,7m	-0,1
303,3m	-0,1
303,9m	-0,1
304,6m	-0,1
305,2m	-0,1
305,8m	-0,1
306,4m	-0,1
307,0m	-0,1
307,6m	-0,1
308,2m	-0,1
308,8m	-0,1
309,4m	-0,1
310,0m	-0,1
310,6m	-0,1
311,2m	-0,1
311,8m	-0,1
312,4m	-0,1
313,0m	-0,1
313,6m	-0,1
314,2m	-0,1
314,8m	-0,1
315,4m	-0,1
316,1m	-0,1
316,7m	-0,1
317,3m	-0,1
317,9m	-0,1
318,5m	-0,1
319,1m	-0,1
319,7m	-0,1
320,3m	-0,1
320,9m	-0,1
321,5m	-0,1
322,1m	-0,1
322,7m	-0,1
323,3m	-0,1
323,9m	-0,1
324,5m	-0,1
325,1m	-0,1
325,7m	-0,1
326,3m	-0,1
327,0m	-0,1
327,6m	-0,1
328,2m	-0,1
328,8m	-0,1
329,4m	-0,1
330,0m	-0,1
330,6m	-0,1
331,2m	-0,1
331,8m	-0,1
332,4m	-0,1
333,0m	-0,1
333,6m	-0,1
334,2m	-0,1
334,8m	-0,1
335,4m	-0,1
336,0m	-0,1
336,6m	-0,1
337,2m	-0,1
337,9m	-0,1
338,5m	-0,1
339,1m	-0,1
339,7m	-0,1
340,3m	-0,1
340,9m	-0,1
341,5m	-0,1
342,1m	-0,1
342,7m	-0,1
343,3m	-0,1
343,9m	-0,1
344,5m	-0,1
345,1m	-0,1
345,7m	-0,1
346,3m	-0,1
346,9m	-0,1
347,5m	-0,1
348,1m	-0,1
348,8m	-0,1
349,4m	-0,1
350,0m	-0,1
350,6m	-0,1
351,2m	-0,1
351,8m	-0,1
352,4m	-0,1
353,0m	-0,1
353,6m	-0,1
354,2m	-0,1
354,8m	-0,1
355,4m	-0,1
356,0m	-0,1
356,6m	-0,1
357,2m	-0,1
357,8m	-0,1
358,4m	-0,1
359,0m	-0,1
359,6m	-0,1
360,3m	-0,1
360,9m	-0,1
361,5m	-0,1
362,1m	-0,1
362,7m	-0,1
363,3m	-0,1
363,9m	-0,1
364,5m	-0,1
365,1m	-0,1
365,7m	-0,1
366,3m	-0,1
366,9m	-0,1
367,5m	-0,1
368,1m	-0,1
368,7m	-0,1
369,3m	-0,1
369,9m	-0,1
370,5m	-0,1
371,2m	-0,1
371,8m	-0,1
372,4m	-0,1
373,0m	-0,1
373,6m	-0,1
374,2m	-0,1
374,8m	-0,1
375,4m	-0,1
376,0m	-0,1
376,6m	-0,1
377,2m	-0,1
377,8m	-0,1
378,4m	-0,1
379,0m	-0,1
379,6m	-0,1
380,2m	-0,1
380,8m	-0,1
381,4m	-0,1
382,1m	-0,1
382,7m	-0,1
383,3m	-0,1
383,9m	-0,1
384,5m	-0,1
385,1m	-0,1
385,7m	-0,1
386,3m	-0,1
386,9m	-0,1
387,5m	-0,1
388,1m	-0,1
388,7m	-0,1
389,3m	-0,1
389,9m	-0,1
390,5m	-0,1
391,1m	-0,1
391,7m	-0,1
392,3m	-0,1
392,9m	-0,1
393,6m	-0,1
394,2m	-0,1
394,8m	-0,1
395,4m	-0,1
396,0m	-0,1
396,6m	-0,1
397,2m	-0,1
397,8m	-0,1
398,4m	-0,1
399,0m	-0,1
399,6m	-0,1
400,2m	-0,1
400,8m	-0,1
401,4m	-0,1
402,0m	-0,1
402,6m	-0,1
403,2m	-0,1
403,8m	-0,1
404,5m	-0,1
405,1m	-0,1
405,7m	-0,1
406,3m	-0,1
406,9m	-0,1
407,5m	-0,1
408,1m	-0,1
408,7m	-0,1
409,3m	-0,1
409,9m	-0,1
410,5m	-0,1
411,1m	-0,1
411,7m	-0,1
412,3m	-0,1
412,9m	-0,1
413,5m	-0,1
414,1m	-0,1
414,7m	-0,1
415,4m	-0,1
416,0m	-0,1
416,6m	-0,1
417,2m	-0,1
417,8m	-0,1
418,4m	-0,1
419,0m	-0,1
419,6m	-0,1
420,2m	-0,1
420,8m	-0,1
421,4m	-0,1
422,0m	-0,1
422,6m	-0,1
423,2m	-0,1
423,8m	-0,1
424,4m	-0,1
425,0m	-0,1
425,6m	-0,1
426,3m	-0,1
426,9m	-0,1
427,5m	-0,1
428,1m	-0,1
428,7m	-0,1
429,3m	-0,1
429,9m	-0,1
430,5m	-0,1
431,1m	-0,1
431,7m	-0,1
432,3m	-0,1
432,9m	-0,1
433,5m	-0,1
434,1m	-0,1
434,7m	-0,1
435,3m	-0,1
435,9m	-0,1
436,5m	-0,1
437,1m	-0,1
437,8m	-0,1
438,4m	-0,1
439,0m	-0,1
439,6m	-0,1
440,2m	-0,1
440,8m	-0,1
441,4m	-0,1
442,0m	-0,1
442,6m	-0,1
443,2m	-0,1
443,8m	-0,1
444,4m	-0,1
445,0m	-0,1
445,6m	-0,1
446,2m	-0,1
446,8m	-0,1
447,4m	-0,1
448,0m	-0,1
448,7m	-0,1
449,3m	-0,1
449,9m	-0,1
450,5m	-0,1
451,1m	-0,1
451,7m	-0,1
452,3m	-0,1
452,9m	-0,1
453,5m	-0,1
454,1m	-0,1
454,7m	-0,1
455,3m	-0,1
455,9m	-0,1
456,5m	-0,1
457,1m	-0,1
457,7m	-0,1
458,3m	-0,1
458,9m	-0,1
459,6m	-0,1
460,2m	-0,1
460,8m	-0,1
461,4m	-0,1
462,0m	-0,1
462,6m	-0,1
463,2m	-0,1
463,8m	-0,1
464,4m	-0,1
465,0m	-0,1
465,6m	-0,1
466,2m	-0,1
466,8m	-0,1
467,4m	-0,1
468,0m	-0,1
468,6m	-0,1
469,2m	-0,1
469,8m	-0,1
470,4m	-0,1
471,1m	-0,1
471,7m	-0,1
